Draw #,Draw Date,Category,ITAs Issued,CRS Score
358,2025-08-06,Provincial Nominee Program,225,739
357,2025-07-22,Healthcare and social services occupations (Version 2),4000,475
356,2025-07-21,Provincial Nominee Program,202,788
355,2025-07-08,Canadian Experience Class,3000,518
354,2025-07-07,Provincial Nominee Program,356,750
353,2025-06-26,Canadian Experience Class,3000,521
352,2025-06-23,Provincial Nominee Program,503,742
351,2025-06-12,Canadian Experience Class,3000,529
350,2025-06-10,Provincial Nominee Program,125,784
349,2025-06-04,Healthcare and social services occupations (Version 2),500,504
348,2025-06-02,Provincial Nominee Program,277,726
347,2025-05-13,Canadian Experience Class,500,547
346,2025-05-12,Provincial Nominee Program,511,706
345,2025-05-02,Healthcare and social services occupations (Version 2),500,510
344,2025-05-01,Education occupations (Version 1),1000,479
343,2025-04-28,Provincial Nominee Program,421,727
342,2025-04-14,Provincial Nominee Program,825,764
341,2025-03-21,French language proficiency (Version 1),7500,379
340,2025-03-17,Provincial Nominee Program,536,736
339,2025-03-06,French language proficiency (Version 1),4500,410
338,2025-03-03,Provincial Nominee Program,725,667
337,2025-02-19,French language proficiency (Version 1),6500,428
336,2025-02-17,Provincial Nominee Program,646,750
335,2025-02-05,Canadian Experience Class,4000,521
334,2025-02-04,Provincial Nominee Program,455,802
333,2025-01-23,Canadian Experience Class,4000,527
332,2025-01-08,Canadian Experience Class,1350,542
331,2025-01-07,Provincial Nominee Program,471,793
330,2024-12-16,Provincial Nominee Program,1085,727
329,2024-12-03,French language proficiency (Version 1),800,466
328,2024-12-02,Provincial Nominee Program,676,705
327,2024-11-20,Healthcare occupations (Version 1),3000,463
326,2024-11-19,Canadian Experience Class,400,539
325,2024-11-18,Provincial Nominee Program,174,816
324,2024-11-15,French language proficiency (Version 1),800,478
323,2024-11-13,Canadian Experience Class,400,547
322,2024-11-12,Provincial Nominee Program,733,812
321,2024-10-23,Trade occupations (Version 1),1800,433
320,2024-10-22,Canadian Experience Class,400,539
319,2024-10-21,Provincial Nominee Program,648,791
318,2024-10-10,French language proficiency (Version 1),1000,444
317,2024-10-09,Canadian Experience Class,500,539
316,2024-10-07,Provincial Nominee Program,1613,743
315,2024-09-19,Canadian Experience Class,4000,509
314,2024-09-13,French language proficiency (Version 1),1000,446
313,2024-09-09,Provincial Nominee Program,911,732
312,2024-08-27,Canadian Experience Class,3300,507
311,2024-08-26,Provincial Nominee Program,1121,694
310,2024-08-15,French language proficiency (Version 1),2000,394
309,2024-08-14,Canadian Experience Class,3200,509
308,2024-08-13,Provincial Nominee Program,763,690
307,2024-07-31,Canadian Experience Class,5000,510
306,2024-07-30,Provincial Nominee Program,964,686
305,2024-07-18,French language proficiency (Version 1),1800,400
304,2024-07-17,Canadian Experience Class,6300,515
303,2024-07-16,Provincial Nominee Program,1391,670
302,2024-07-08,French language proficiency (Version 1),3200,420
301,2024-07-05,Healthcare occupations (Version 1),3750,445
300,2024-07-04,Trade occupations (Version 1),1800,436
299,2024-07-02,Provincial Nominee Program,920,739
298,2024-06-19,Provincial Nominee Program,1499,663
297,2024-05-31,Canadian Experience Class,3000,522
296,2024-05-30,Provincial Nominee Program,2985,676
295,2024-04-24,French language proficiency (Version 1),1400,410
294,2024-04-23,General,2095,529
293,2024-04-11,STEM occupations (Version 1),4500,491
292,2024-04-10,General,1280,549
291,2024-03-26,French language proficiency (Version 1),1500,388
290,2024-03-25,General,1980,524
289,2024-03-13,Transport occupations (Version 1),975,430
288,2024-03-12,General,2850,525
287,2024-02-29,French language proficiency (Version 1),2500,336
286,2024-02-28,General,1470,534
285,2024-02-16,Agriculture and agri-food occupations (Version 1),150,437
284,2024-02-14,Healthcare occupations (Version 1),3500,422
283,2024-02-13,General,1490,535
282,2024-02-01,French language proficiency (Version 1),7000,365
281,2024-01-31,General,730,541
280,2024-01-23,General,1040,543
279,2024-01-10,General,1510,546
278,2023-12-21,Agriculture and agri-food occupations (Version 1),400,386
277,2023-12-20,Transport occupations (Version 1),670,435
276,2023-12-19,Trade occupations (Version 1),1000,425
275,2023-12-18,General,1325,542
274,2023-12-08,STEM occupations (Version 1),5900,481
273,2023-12-07,French language proficiency (Version 1),1000,470
272,2023-12-06,General,4750,561
271,2023-10-26,Healthcare occupations (Version 1),3600,431
270,2023-10-25,French language proficiency (Version 1),300,486
269,2023-10-24,Provincial Nominee Program,1548,776
268,2023-10-10,No Program Specified,3725,500
267,2023-09-28,Agriculture and agri-food occupations (Version 1),600,354
266,2023-09-27,French language proficiency (Version 1),500,472
265,2023-09-26,No Program Specified,3000,504
264,2023-09-20,Transport occupations (Version 1),1000,435
263,2023-09-19,No Program Specified,3200,531
262,2023-08-15,No Program Specified,4300,496
261,2023-08-03,Trade occupations (Version 1),1500,388
260,2023-08-02,French language proficiency (Version 1),800,435
259,2023-08-01,No Program Specified,2000,517
258,2023-07-12,French language proficiency (Version 1),3800,375
257,2023-07-11,No Program Specified,800,505
